"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","AGEA1"
"VT","(AGE)Please type in your age. 请输入您的年龄"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","18 to 24 18-24岁",31.0
"PV",,8.98550724637681
"MK",," "
"RW","25 to 29 25-29岁",42.0
"PV",,12.1739130434783
"MK",," "
"RW","30 to 34 30-34岁",35.0
"PV",,10.1449275362319
"MK",," "
"RW","35 to 39 35-39岁",51.0
"PV",,14.7826086956522
"MK",," "
"RW","40 to 44 40-44岁",68.0
"PV",,19.7101449275362
"MK",," "
"RW","45 to 50 45-50岁",118.0
"PV",,34.2028985507246
"MK",," "
"TE"
"TB","Q0A1"
"VT","(Q0)First of all, we would like to know your leisure time activities. Have you ever been to below places? (MA)首先我们想了解一下您的休闲娱乐情况。请问您休闲时间是否曾经去过以下场所？（复选）"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","Amusement/ Theme park 大型游乐园/主题乐园 ",71.0
"PV",,20.5797101449275
"MK",," "
"RW","Café 咖啡厅",83.0
"PV",,24.0579710144928
"MK",," "
"RW","Cinema 电影院",171.0
"PV",,49.5652173913044
"MK",," "
"RW","Theatre 剧院",41.0
"PV",,11.8840579710145
"MK",," "
"RW","Museum Museum 博物馆/艺术馆",68.0
"PV",,19.7101449275362
"MK",," "
"RW","KTV KTV KTV场所",127.0
"PV",,36.8115942028985
"MK",," "
"RW","Gym Gym 健身房",69.0
"PV",,20.0
"MK",," "
"RW","Beach 海滩",87.0
"PV",,25.2173913043478
"MK",," "
"RW","Botanic garden 植物园",103.0
"PV",,29.8550724637681
"MK",," "
"RW","Aquarium 海洋馆",54.0
"PV",,15.6521739130435
"MK",," "
"RW","None of above (EXCLUSIVE) 以上均无 （排他）",40.0
"PV",,11.5942028985507
"MK",," "
"TE"
"TB","BE2A01A1"
